Wonder Woman 1984 (2020) ,25 December 2020 (USA),5.5,Rewind to the 1980s as Wonder Woman's next big screen adventure finds her facing two all-new foes: Max Lord and The Cheetah.
Soul (2020) ,25 December 2020 (USA),8.2,A musician who has lost his passion for music is transported out of his body and must find his way back with the help of an infant soul learning about herself.
The Midnight Sky (2020) ,23 December 2020 (USA),5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe."
We Can Be Heroes (2020) ,25 December 2020 (USA),4.8,"When alien invaders kidnap Earth's superheroes, their children must team up and learn to work together if they want to save their parents and the world."
Tenet (2020) ,3 September 2020 (USA),7.6,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
Shadow in the Cloud (2020) ,1 January 2021 (USA),4.6,A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.
Wonder Woman (2017) ,2 June 2017 (USA),7.4,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Promising Young Woman (2020) ,25 December 2020 (USA),7.4,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who cross her path."
Mulan (2020) ,4 September 2020 (USA),5.6,A young Chinese maiden disguises herself as a male warrior in order to save her father.
Love Actually (2003) ,14 November 2003 (USA),7.6,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
Coolie No. 1 (2020) ,24 December 2020 (USA),3.7,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju's real...
                    See full summary »"
After We Collided (2020) ,23 October 2020 (USA),5.0,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
Another Round (2020) ,18 December 2020 (USA),7.9,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood."
The Croods: A New Age (2020) ,25 November 2020 (USA),7.0,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
Ma Rainey's Black Bottom (2020) ,18 December 2020 (USA),7.2,"Chicago, 1927. A recording session. Tensions rise between Ma Rainey, her ambitious horn player and the white management determined to control the uncontrollable ""Mother of the Blues"". Based on Pulitzer Prize winner August Wilson's play."
The Godfather (1972) ,24 March 1972 (USA),9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Greenland (2020) ,18 December 2020 (USA),6.4,A family struggles for survival in the face of a cataclysmic natural disaster.
The Prom (2020) ,11 December 2020 (USA),6.1,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.
The Gentlemen (2019) ,24 January 2020 (USA),7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Ava (2020) ,25 September 2020 (USA),5.4,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival."
Sylvie's Love (2020) ,23 December 2020 (USA),6.7,"When a young woman meets an aspiring saxophonist in her father's record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success."
Home Alone (1990) ,16 November 1990 (USA),7.6,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
National Lampoon's Christmas Vacation (1989) ,1 December 1989 (USA),7.6,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
News of the World (2020) ,25 December 2020 (USA),7.2,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home."
Knives Out (2019) ,27 November 2019 (USA),7.9,"A detective investigates the death of a patriarch of an eccentric, combative family."
The Sound of Music (1965) ,1 April 1965 (USA),8.0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
Monster Hunter (2020) ,18 December 2020 (USA),5.3,"When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom."
1917 (2019) ,10 January 2020 (USA),8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Die Hard (1988) ,20 July 1988 (USA),8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Mank (2020) ,4 December 2020 (USA),7.1,1930's Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane (1941).
Cats (2019) ,20 December 2019 (USA),2.8,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.
Harry Potter and the Sorcerer's Stone (2001) ,16 November 2001 (USA),7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Parasite (2019) ,8 November 2019 (USA),8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Grease (1978) ,16 June 1978 (USA),7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
Sound of Metal (2019) ,4 December 2020 (USA),7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
It's a Wonderful Life (1946) ,7 January 1947 (USA),8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Coming 2 America (2021) ,5 March 2021 (USA),,The African monarch Akeem learns he has a long-lost son in the United States and must return to America to meet this unexpected heir and build a relationship with his son.
The Karate Kid (1984) ,22 June 1984 (USA),7.3,A martial arts master agrees to teach karate to a bullied teenager.
The Lord of the Rings: The Fellowship of the Ring (2001) ,19 December 2001 (USA),8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Nomadland (2020) ,19 February 2021 (USA),7.8,"After losing everything in the Great Recession, a woman embarks on a journey through the American West, living as a van-dwelling modern-day nomad."
New Year's Eve (2011) ,9 December 2011 (USA),5.7,The lives of several couples and singles in New York City intertwine over the course of New Year's Eve.
AK vs AK (2020) ,24 December 2020 (USA),7.2,"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie."
Klaus (2019) ,15 November 2019 (USA),8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Honest Thief (2020) ,16 October 2020 (USA),6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents."
Once Upon a Time... In Hollywood (2019) ,26 July 2019 (USA),7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
The Greatest Showman (2017) ,20 December 2017 (USA),7.6,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.
Beauty and the Beast (2017) ,17 March 2017 (USA),7.1,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
365 Days (2020) ,7 June 2020 (USA),3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
Jumanji: Level One (2020) ,31 December 2020 (USA),6.0,"Takes place in 1869, before the events of the original movie. It will finally reveal how the cursed game came to be and the adventures of the first people who played Jumanji."
Palm Springs (2020) ,10 July 2020 (USA),7.4,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated as they are unable to escape the venue, themselves, or each other."
The Trial of the Chicago 7 (2020) ,16 October 2020 (USA),7.8,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
Star Wars: The Rise Of Skywalker (2019) ,20 December 2019 (USA),6.6,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
Dolittle (2020) ,17 January 2020 (USA),5.6,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.
Dunkirk (2017) ,21 July 2017 (USA),7.9,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Avengers: Endgame (2019) ,26 April 2019 (USA),8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
The Christmas Chronicles: Part Two (2020) ,25 November 2020 (USA),6.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever."
Dune (2021) ,1 October 2021 (USA),,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy."
Happiest Season (2020) ,25 November 2020 (USA),6.7,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas."
The Witches (2020) ,22 October 2020 (USA),5.3,A young boy and his grandmother have a run-in with a coven of witches and their leader.
Jumanji (1995) ,15 December 1995 (USA),7.0,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game."
Little Women (2019) ,25 December 2019 (USA),7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
The Little Things (2021) ,29 January 2021 (USA),,Two cops track down a serial killer.
No Time to Die (2021) ,2 April 2021 (USA),,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
The Shawshank Redemption (1994) ,14 October 1994 (USA),9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Interstellar (2014) ,7 November 2014 (USA),8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
Hillbilly Elegy (2020) ,24 November 2020 (USA),6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future."
After (2019) ,12 April 2019 (USA),5.3,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
Emma. (2020) ,6 March 2020 (USA),6.7,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
Joker (2019) ,4 October 2019 (USA),8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
The Professor and the Madman (2019) ,10 May 2019 (USA),7.3,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor."
The Holiday (2006) ,8 December 2006 (USA),6.9,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Pride & Prejudice (2005) ,23 November 2005 (USA),7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Enola Holmes (2020) ,23 September 2020 (USA),6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord."
The Godfather: Part II (1974) ,18 December 1974 (USA),9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
The New Mutants (2020) ,28 August 2020 (USA),5.3,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
The Wolf of Wall Street (2013) ,25 December 2013 (USA),8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Devil All the Time (2020) ,16 September 2020 (USA),7.1,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
Jingle Jangle: A Christmas Journey (2020) ,13 November 2020 (USA),6.5,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever."
Hamilton (2020) ,3 July 2020 (USA),8.6,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Rogue One: A Star Wars Story (2016) ,16 December 2016 (USA),7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.
Love and Monsters (2020) ,16 October 2020 (USA),7.0,"In a monster-infested world, Joel learns his girlfriend is just 85 miles away. To make the dangerous journey, Joel discovers his inner hero to be with the girl of his dreams."
Home Alone 2: Lost in New York (1992) ,20 November 1992 (USA),6.8,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
Bombshell (2019) ,20 December 2019 (USA),6.8,A group of women take on Fox News head Roger Ailes and the toxic atmosphere he presided over at the network.
Fatman (2020) ,24 November 2020 (USA),5.9,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking."
Last Christmas (2019) ,8 November 2019 (USA),6.5,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true."
Jojo Rabbit (2019) ,8 November 2019 (USA),7.9,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
Justice League (2017) ,17 November 2017 (USA),6.3,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
Elf (2003) ,7 November 2003 (USA),7.0,"After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father."
How the Grinch Stole Christmas (2000) ,17 November 2000 (USA),6.2,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
Star Wars: Episode I - The Phantom Menace (1999) ,19 May 1999 (USA),6.5,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory."
Holidate (2020) ,28 October 2020 (USA),6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way."
Inception (2010) ,16 July 2010 (USA),8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
Coming to America (1988) ,29 June 1988 (USA),7.0,"An extremely pampered African Prince travels to Queens, New York, and goes undercover to find a wife that he can respect for her intelligence and will."
Escape Room (2019) ,4 January 2019 (USA),6.4,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.
Run (2020) ,20 November 2020 (USA),6.7,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.
Star Wars: Episode IV - A New Hope (1977) ,25 May 1977 (USA),8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
The Invisible Man (2020) ,28 February 2020 (USA),7.1,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
I'm Your Woman (2020) ,11 December 2020 (USA),6.2,"In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey."
Skylines (2020) ,18 December 2020 (Canada),4.7,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity."
Stardust (2007) ,10 August 2007 (USA),7.6,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
